Column1,City,Total population,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,16 years and over,18 years and over,21 years and over,62 years and over,65 years and over,    Male population,Male - Under 5 years,Male - 5 to 9 years,Male - 10 to 14 years,Male - 15 to 19 years,Male - 20 to 24 years,Male - 25 to 29 years,Male - 30 to 34 years,Male - 35 to 39 years,Male - 40 to 44 years,Male - 45 to 49 years,Male - 50 to 54 years,Male - 55 to 59 years,Male - 60 to 64 years,Male - 65 to 69 years,Male - 70 to 74 years,Male - 75 to 79 years,Male - 80 to 84 years,Male - 85 years and over,Female population,Female - Under 5 years,Female - 5 to 9 years,Female - 10 to 14 years,Female - 15 to 19 years,Female - 20 to 24 years,Female - 25 to 29 years,Female - 30 to 34 years,Female - 35 to 39 years,Female - 40 to 44 years,Female - 45 to 49 years,Female - 50 to 54 years,Female - 55 to 59 years,Female - 60 to 64 years,Female - 65 to 69 years,Female - 70 to 74 years,Female - 75 to 79 years,Female - 80 to 84 years,Female - 85 years and over,Median Age_Both sexes,Median Age_Male,Median Age_Female,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,County
10,Piedmont,11270,487,815,1045,930,474,298,285,483,694,904,957,791,725,785,700,409,242,246,8727,8284,7886,2826,2382,5531,246,433,554,496,239,141,146,209,312,417,475,378,341,385,358,202,104,95,5739,241,382,491,434,235,157,139,274,382,487,482,413,384,400,342,207,138,151,45.7,44.8,46.5,7218,126,10,2267,13,177,1459,Alameda County
11,Pleasanton,79871,3543,5146,6452,6014,3847,3722,4178,5384,6013,6347,6002,6026,4789,3539,3020,2373,1773,1703,63357,60720,57861,15129,12408,39043,1754,2641,3370,3082,1996,1850,1996,2572,2808,3143,2981,2988,2432,1696,1329,966,771,668,40828,1789,2505,3082,2932,1851,1872,2182,2812,3205,3204,3021,3038,2357,1843,1691,1407,1002,1035,41.4,40.5,42.2,36046,1396,300,31636,120,2828,7545,Alameda County
12,San Leandro,91008,4562,4592,5076,5162,5397,6569,7011,6272,5774,6082,6082,6668,6415,5164,4044,2474,1620,2044,75754,73674,70566,19146,15346,43854,2355,2316,2576,2590,2762,3246,3460,3090,2812,2922,2923,3101,3030,2320,1851,1149,653,698,47154,2207,2276,2500,2572,2635,3323,3551,3182,2962,3160,3159,3567,3385,2844,2193,1325,967,1346,40.7,39.1,42.3,21047,10098,1132,32708,776,14820,10427,Alameda County
0,Antioch,115291,6745,7707,8517,8429,8139,7942,8125,7583,7147,7105,7672,8057,7125,5448,4019,2410,1544,1577,90658,87232,82254,19139,14998,56110,3362,3929,4361,4321,4172,3973,3915,3664,3407,3370,3653,3887,3422,2636,1796,1057,630,555,59181,3383,3778,4156,4108,3967,3969,4210,3919,3740,3735,4019,4170,3703,2812,2223,1353,914,1022,36.2,35,37.5,32703,24057,1696,15015,1543,24028,16249,Contra Costa County
1,Brentwood,64292,3539,4579,5365,5240,3685,2802,3234,4288,4536,4547,4545,4024,3482,2959,2835,2159,1332,1141,49687,47470,44650,12428,10426,31064,1823,2321,2695,2679,1884,1417,1476,1991,2135,2183,2274,1954,1713,1293,1250,939,574,463,33228,1716,2258,2670,2561,1801,1385,1758,2297,2401,2364,2271,2070,1769,1666,1585,1220,758,678,39.3,38.2,40.3,33061,4465,629,8642,314,6952,10229,Contra Costa County
2,Clayton,11070,481,581,715,789,547,332,382,594,620,731,898,992,952,731,684,455,288,298,9115,8793,8369,3002,2456,5284,247,303,345,389,288,188,176,264,300,360,420,487,432,348,310,198,114,115,5786,234,278,370,400,259,144,206,330,320,371,478,505,520,383,374,257,174,183,48.6,47.3,49.7,8150,173,22,1036,18,287,1384,Contra Costa County
3,Concord,125410,7153,7165,7259,7079,6911,8337,9713,9961,8694,7773,8064,8756,8143,6632,5341,3556,2275,2598,102369,99511,95356,25090,20402,61945,3649,3613,3712,3745,3603,4229,4936,5134,4460,3859,3964,4297,3813,3128,2402,1582,927,892,63465,3504,3552,3547,3334,3308,4108,4777,4827,4234,3914,4100,4459,4330,3504,2939,1974,1348,1706,39.5,38.3,40.8,59800,4789,1425,18802,693,21268,18633,Contra Costa County
4,Danville,43582,1793,2914,3543,3505,1988,1163,1366,2110,2766,3305,3559,3804,3202,2619,2377,1664,971,933,34585,33008,31342,10352,8564,21060,911,1499,1813,1808,1008,607,654,967,1283,1538,1666,1839,1542,1247,1105,768,433,372,22522,882,1415,1730,1697,980,556,712,1143,1483,1767,1893,1965,1660,1372,1272,896,538,561,46,44.9,46.9,30864,401,104,6615,49,761,4788,Contra Costa County
5,El Cerrito,25962,1327,1323,1246,1132,1117,1682,2040,2068,1908,1817,1705,1652,1652,1513,1488,836,631,825,21798,21323,20774,6311,5293,12612,695,691,675,581,534,818,1080,1014,934,874,869,751,803,697,648,368,287,293,13350,632,632,571,551,583,864,960,1054,974,943,836,901,849,816,840,468,344,532,42.6,41,44.1,11982,1426,118,7738,56,1416,3226,Contra Costa County
6,Hercules,26016,1263,1362,1441,1426,1403,1589,1795,1837,1791,1675,1716,1962,1984,1780,1391,783,456,362,21667,21055,20247,5967,4772,12493,686,687,711,753,714,808,870,906,847,781,809,911,876,829,629,351,189,136,13523,577,675,730,673,689,781,925,931,944,894,907,1051,1108,951,762,432,267,226,42.4,40.7,44.2,4221,4181,155,12191,142,2239,2887,Contra Costa County
