,City,SEX AND AGE,    Total population,        Under 5 years,        5 to 9 years,        10 to 14 years,        15 to 19 years,        20 to 24 years,        25 to 29 years,        30 to 34 years,        35 to 39 years,        40 to 44 years,        45 to 49 years,        50 to 54 years,        55 to 59 years,        60 to 64 years,        65 to 69 years,        70 to 74 years,        75 to 79 years,        80 to 84 years,        85 years and over,        Selected Age Categories,            16 years and over,            18 years and over,            21 years and over,            62 years and over,            65 years and over,    Male population,        Under 5 years,        5 to 9 years,        10 to 14 years,        15 to 19 years,        20 to 24 years,        25 to 29 years,        30 to 34 years,        35 to 39 years,        40 to 44 years,        45 to 49 years,        50 to 54 years,        55 to 59 years,        60 to 64 years,        65 to 69 years,        70 to 74 years,        75 to 79 years,        80 to 84 years,        85 years and over,        Selected Age Categories,            16 years and over,            18 years and over,            21 years and over,            62 years and over,            65 years and over,    Female population,        Under 5 years,        5 to 9 years,        10 to 14 years,        15 to 19 years,        20 to 24 years,        25 to 29 years,        30 to 34 years,        35 to 39 years,        40 to 44 years,        45 to 49 years,        50 to 54 years,        55 to 59 years,        60 to 64 years,        65 to 69 years,        70 to 74 years,        75 to 79 years,        80 to 84 years,        85 years and over,        Selected Age Categories,            16 years and over,            18 years and over,            21 years and over,            62 years and over,            65 years and over,MEDIAN AGE BY SEX,    Both sexes,    Male,    Female,RACE,    Total population,        One Race,            White,            Black or African American,            American Indian and Alaska Native,            Asian,            Native Hawaiian and Other Pacific Islander,            Some Other Race,        Two or More Races,TOTAL RACES TALLIED [1],    Total races tallied,        White alone or in combination with one or more other races,        Black or African American alone or in combination with one or more other races,        American Indian and Alaska Native alone or in combination with one or more other races,        Asian alone or in combination with one or more other races,        Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races,        Some Other Race alone or in combination with one or more other races,HISPANIC OR LATINO,    Total population,        Hispanic or Latino (of any race),        Not Hispanic or Latino,HISPANIC OR LATINO BY RACE,    Total population,        Hispanic or Latino,            White alone,            Black or African American alone,            American Indian and Alaska Native alone,            Asian alone,            Native Hawaiian and Other Pacific Islander alone,            Some Other Race alone,            Two or More Races,        Not Hispanic or Latino,            White alone,            Black or African American alone,            American Indian and Alaska Native alone,            Asian alone,            Native Hawaiian and Other Pacific Islander alone,            Some Other Race alone,            Two or More Races,RELATIONSHIP,    Total population,        In households,            Householder,            Opposite-sex spouse,            Same-sex spouse,            Opposite-sex unmarried partner,            Same-sex unmarried partner,            Child [2],                Under 18 years,            Grandchild,                Under 18 years,            Other relatives,            Nonrelatives,        In group quarters,            Institutionalized population:,                Male,                Female,            Noninstitutionalized population:,                Male,                Female,HOUSEHOLDS BY TYPE,    Total households,        Married couple household,            With own children under 18 [3],        Cohabiting couple household,            With own children under 18 [3],"        Male householder, no spouse or partner present:",            Living alone,                65 years and over,            With own children under 18 [3],"        Female householder, no spouse or partner present:",            Living alone,                65 years and over,            With own children under 18 [3],        Households with individuals under 18 years,        Households with individuals 65 years and over,HOUSING OCCUPANCY,    Total housing units,        Occupied housing units,        Vacant housing units,            For rent,"            Rented, not occupied",            For sale only,"            Sold, not occupied","            For seasonal, recreational, or occasional use",            All other vacants,VACANCY RATES,    Homeowner vacancy rate (percent) [4],    Rental vacancy rate (percent) [5],HOUSING TENURE,    Occupied housing units,        Owner-occupied housing units,        Renter-occupied housing units,County
10,Piedmont,,"11,270",487,815,"1,045",930,474,298,285,483,694,904,957,791,725,785,700,409,242,246,,"8,727","8,284","7,886","2,826","2,382","5,531",246,433,554,496,239,141,146,209,312,417,475,378,341,385,358,202,104,95,,"4,179","3,953","3,750","1,346","1,144","5,739",241,382,491,434,235,157,139,274,382,487,482,413,384,400,342,207,138,151,,"4,548","4,331","4,136","1,480","1,238",,45.7,44.8,46.5,,"11,270","9,811","7,218",126,10,"2,267",13,177,"1,459",,"12,853","8,624",273,125,"3,022",53,756,,"11,270",729,"10,541",,"11,270",729,156,4,5,20,3,78,463,"10,541","7,062",122,5,"2,247",10,99,996,,"11,270","11,261","3,830","2,770",22,82,11,"3,971","2,861",85,55,233,257,9,0,0,0,9,6,3,,"3,831","2,810","1,383",99,37,293,176,105,47,629,331,245,115,"1,693","1,570",,"3,947","3,831",116,12,5,21,7,21,50,,0.6,2.2,,"3,831","3,310",521,Alameda County
11,Pleasanton,,"79,871","3,543","5,146","6,452","6,014","3,847","3,722","4,178","5,384","6,013","6,347","6,002","6,026","4,789","3,539","3,020","2,373","1,773","1,703",,"63,357","60,720","57,861","15,129","12,408","39,043","1,754","2,641","3,370","3,082","1,996","1,850","1,996","2,572","2,808","3,143","2,981","2,988","2,432","1,696","1,329",966,771,668,,"30,584","29,238","27,743","6,813","5,430","40,828","1,789","2,505","3,082","2,932","1,851","1,872","2,182","2,812","3,205","3,204","3,021","3,038","2,357","1,843","1,691","1,407","1,002","1,035",,"32,773","31,482","30,118","8,316","6,978",,41.4,40.5,42.2,,"79,871","72,326","36,046","1,396",300,"31,636",120,"2,828","7,545",,"88,136","43,034","2,173","1,310","34,443",507,"6,669",,"79,871","7,882","71,989",,"79,871","7,882","1,714",64,163,136,10,"2,356","3,439","71,989","34,332","1,332",137,"31,500",110,472,"4,106",,"79,871","79,006","28,533","18,349",95,"1,049",56,"26,069","18,338",659,440,"2,676","1,520",865,167,69,98,698,312,386,,"28,527","18,465","9,241","1,105",254,"3,264","2,041",674,374,"5,693","3,336","1,988",935,"11,288","8,516",,"29,624","28,527","1,097",562,47,118,45,123,202,,0.6,5.3,,"28,527","18,461","10,066",Alameda County
12,San Leandro,,"91,008","4,562","4,592","5,076","5,162","5,397","6,569","7,011","6,272","5,774","6,082","6,082","6,668","6,415","5,164","4,044","2,474","1,620","2,044",,"75,754","73,674","70,566","19,146","15,346","43,854","2,355","2,316","2,576","2,590","2,762","3,246","3,460","3,090","2,812","2,922","2,923","3,101","3,030","2,320","1,851","1,149",653,698,,"36,115","35,066","33,425","8,474","6,671","47,154","2,207","2,276","2,500","2,572","2,635","3,323","3,551","3,182","2,962","3,160","3,159","3,567","3,385","2,844","2,193","1,325",967,"1,346",,"39,639","38,608","37,141","10,672","8,675",,40.7,39.1,42.3,,"91,008","80,581","21,047","10,098","1,132","32,708",776,"14,820","10,427",,"102,747","30,043","11,964","2,758","35,352","1,365","21,265",,"91,008","25,981","65,027",,"91,008","25,981","3,182",390,908,343,64,"14,380","6,714","65,027","17,865","9,708",224,"32,365",712,440,"3,713",,"91,008","90,004","31,753","14,431",311,"1,913",130,"25,214","14,418","2,197","1,659","9,972","4,083","1,004",359,146,213,645,329,316,,"31,799","14,752","5,804","2,056",682,"5,669","3,261","1,112",476,"9,322","4,359","2,209","1,499","9,981","10,953",,"32,898","31,799","1,099",497,57,89,53,55,348,,0.5,3.3,,"31,799","17,343","14,456",Alameda County
0,Antioch,,"115,291","6,745","7,707","8,517","8,429","8,139","7,942","8,125","7,583","7,147","7,105","7,672","8,057","7,125","5,448","4,019","2,410","1,544","1,577",,"90,658","87,232","82,254","19,139","14,998","56,110","3,362","3,929","4,361","4,321","4,172","3,973","3,915","3,664","3,407","3,370","3,653","3,887","3,422","2,636","1,796","1,057",630,555,,"43,591","41,823","39,251","8,671","6,674","59,181","3,383","3,778","4,156","4,108","3,967","3,969","4,210","3,919","3,740","3,735","4,019","4,170","3,703","2,812","2,223","1,353",914,"1,022",,"47,067","45,409","43,003","10,468","8,324",,36.2,35.0,37.5,,"115,291","99,042","32,703","24,057","1,696","15,015","1,543","24,028","16,249",,"133,319","46,556","27,870","4,480","18,538","2,447","33,428",,"115,291","41,965","73,326",,"115,291","41,965","6,149",786,"1,277",445,106,"23,203","9,999","73,326","26,554","23,271",419,"14,570","1,437",825,"6,250",,"115,291","114,609","35,549","17,168",228,"2,491",107,"38,533","22,428","4,453","3,585","11,166","4,914",682,270,105,165,412,215,197,,"35,548","17,399","7,195","2,592","1,234","5,814","2,839",941,814,"9,743","3,215","1,606","2,560","14,124","10,878",,"36,749","35,548","1,201",650,45,201,46,47,212,,0.9,4.4,,"35,548","21,447","14,101",Contra Costa County
1,Brentwood,,"64,292","3,539","4,579","5,365","5,240","3,685","2,802","3,234","4,288","4,536","4,547","4,545","4,024","3,482","2,959","2,835","2,159","1,332","1,141",,"49,687","47,470","44,650","12,428","10,426","31,064","1,823","2,321","2,695","2,679","1,884","1,417","1,476","1,991","2,135","2,183","2,274","1,954","1,713","1,293","1,250",939,574,463,,"23,662","22,527","21,082","5,506","4,519","33,228","1,716","2,258","2,670","2,561","1,801","1,385","1,758","2,297","2,401","2,364","2,271","2,070","1,769","1,666","1,585","1,220",758,678,,"26,025","24,943","23,568","6,922","5,907",,39.3,38.2,40.3,,"64,292","54,063","33,061","4,465",629,"8,642",314,"6,952","10,229",,"75,658","42,498","5,935","2,209","11,314",940,"12,762",,"64,292","17,121","47,171",,"64,292","17,121","3,574",235,468,236,25,"6,568","6,015","47,171","29,487","4,230",161,"8,406",289,384,"4,214",,"64,292","64,151","20,784","13,068",93,977,42,"22,717","15,147","1,366","1,048","3,654","1,450",141,22,10,12,119,64,55,,"20,793","13,181","6,212","1,032",467,"2,205","1,124",514,372,"4,375","2,174","1,546",977,"8,868","7,259",,"21,228","20,793",435,117,9,123,30,63,93,,0.8,2.3,,"20,793","15,854","4,939",Contra Costa County
2,Clayton,,"11,070",481,581,715,789,547,332,382,594,620,731,898,992,952,731,684,455,288,298,,"9,115","8,793","8,369","3,002","2,456","5,284",247,303,345,389,288,188,176,264,300,360,420,487,432,348,310,198,114,115,,"4,310","4,145","3,935","1,337","1,085","5,786",234,278,370,400,259,144,206,330,320,371,478,505,520,383,374,257,174,183,,"4,805","4,648","4,434","1,665","1,371",,48.6,47.3,49.7,,"11,070","9,686","8,150",173,22,"1,036",18,287,"1,384",,"12,562","9,473",294,240,"1,540",81,934,,"11,070","1,242","9,828",,"11,070","1,242",368,1,5,22,4,242,600,"9,828","7,782",172,17,"1,014",14,45,784,,"11,070","11,054","4,102","2,773",34,130,5,"3,408","2,120",132,102,316,154,16,0,0,0,16,6,10,,"4,089","2,804","1,044",131,29,321,192,107,34,833,527,371,70,"1,304","1,732",,"4,165","4,089",76,17,0,21,6,20,12,,0.6,4.0,,"4,089","3,678",411,Contra Costa County
3,Concord,,"125,410","7,153","7,165","7,259","7,079","6,911","8,337","9,713","9,961","8,694","7,773","8,064","8,756","8,143","6,632","5,341","3,556","2,275","2,598",,"102,369","99,511","95,356","25,090","20,402","61,945","3,649","3,613","3,712","3,745","3,603","4,229","4,936","5,134","4,460","3,859","3,964","4,297","3,813","3,128","2,402","1,582",927,892,,"50,171","48,715","46,464","11,100","8,931","63,465","3,504","3,552","3,547","3,334","3,308","4,108","4,777","4,827","4,234","3,914","4,100","4,459","4,330","3,504","2,939","1,974","1,348","1,706",,"52,198","50,796","48,892","13,990","11,471",,39.5,38.3,40.8,,"125,410","106,777","59,800","4,789","1,425","18,802",693,"21,268","18,633",,"145,728","77,027","6,844","4,085","23,840","1,495","32,437",,"125,410","38,953","86,457",,"125,410","38,953","5,696",257,"1,130",367,49,"20,384","11,070","86,457","54,104","4,532",295,"18,435",644,884,"7,563",,"125,410","124,033","45,796","21,994",471,"3,141",221,"35,184","22,824","2,373","1,732","8,654","6,199","1,377",635,246,389,742,416,326,,"45,800","22,454","9,221","3,369","1,092","8,028","4,541","1,443",777,"11,949","6,005","3,185","1,756","14,411","14,174",,"47,597","45,800","1,797",797,57,175,129,94,545,,0.6,4.1,,"45,800","27,090","18,710",Contra Costa County
4,Danville,,"43,582","1,793","2,914","3,543","3,505","1,988","1,163","1,366","2,110","2,766","3,305","3,559","3,804","3,202","2,619","2,377","1,664",971,933,,"34,585","33,008","31,342","10,352","8,564","21,060",911,"1,499","1,813","1,808","1,008",607,654,967,"1,283","1,538","1,666","1,839","1,542","1,247","1,105",768,433,372,,"16,423","15,648","14,791","4,774","3,925","22,522",882,"1,415","1,730","1,697",980,556,712,"1,143","1,483","1,767","1,893","1,965","1,660","1,372","1,272",896,538,561,,"18,162","17,360","16,551","5,578","4,639",,46.0,44.9,46.9,,"43,582","38,794","30,864",401,104,"6,615",49,761,"4,788",,"48,709","35,449",718,644,"8,472",281,"3,145",,"43,582","3,952","39,630",,"43,582","3,952","1,045",21,45,75,7,554,"2,205","39,630","29,819",380,59,"6,540",42,207,"2,583",,"43,582","43,402","15,625","10,527",63,523,28,"14,638","10,171",343,255,991,664,180,69,13,56,111,26,85,,"15,630","10,583","4,668",550,130,"1,436",862,404,215,"3,061","1,837","1,195",467,"5,749","5,714",,"16,101","15,630",471,120,20,61,38,106,126,,0.5,4.7,,"15,630","13,219","2,411",Contra Costa County
5,El Cerrito,,"25,962","1,327","1,323","1,246","1,132","1,117","1,682","2,040","2,068","1,908","1,817","1,705","1,652","1,652","1,513","1,488",836,631,825,,"21,798","21,323","20,774","6,311","5,293","12,612",695,691,675,581,534,818,"1,080","1,014",934,874,869,751,803,697,648,368,287,293,,"10,404","10,150","9,896","2,787","2,293","13,350",632,632,571,551,583,864,960,"1,054",974,943,836,901,849,816,840,468,344,532,,"11,394","11,173","10,878","3,524","3,000",,42.6,41.0,44.1,,"25,962","22,736","11,982","1,426",118,"7,738",56,"1,416","3,226",,"29,596","14,883","2,002",527,"9,057",207,"2,920",,"25,962","3,075","22,887",,"25,962","3,075",515,39,93,37,5,"1,100","1,286","22,887","11,467","1,387",25,"7,701",51,316,"1,940",,"25,962","25,842","10,465","5,073",181,651,66,"6,183","4,219",267,193,"1,319","1,637",120,25,9,16,95,45,50,,"10,483","5,251","2,207",720,138,"1,756","1,089",437,121,"2,756","1,560",943,267,"3,042","3,904",,"10,996","10,483",513,147,29,44,43,58,192,,0.7,3.2,,"10,483","6,126","4,357",Contra Costa County
6,Hercules,,"26,016","1,263","1,362","1,441","1,426","1,403","1,589","1,795","1,837","1,791","1,675","1,716","1,962","1,984","1,780","1,391",783,456,362,,"21,667","21,055","20,247","5,967","4,772","12,493",686,687,711,753,714,808,870,906,847,781,809,911,876,829,629,351,189,136,,"10,251","9,922","9,517","2,665","2,134","13,523",577,675,730,673,689,781,925,931,944,894,907,"1,051","1,108",951,762,432,267,226,,"11,416","11,133","10,730","3,302","2,638",,42.4,40.7,44.2,,"26,016","23,129","4,221","4,181",155,"12,191",142,"2,239","2,887",,"29,310","6,494","4,938",577,"13,335",347,"3,619",,"26,016","4,320","21,696",,"26,016","4,320",533,97,128,154,1,"2,015","1,392","21,696","3,688","4,084",27,"12,037",141,224,"1,495",,"26,016","25,964","8,859","4,860",71,383,27,"7,827","4,133",719,522,"2,441",777,52,6,4,2,46,29,17,,"8,861","4,929","1,850",404,147,"1,169",638,221,131,"2,359","1,057",549,354,"3,028","3,344",,"9,165","8,861",304,136,16,30,13,28,81,,0.4,6.2,,"8,861","6,836","2,025",Contra Costa County
7,Lafayette,,"25,391","1,176","1,708","2,010","1,799","1,003",863,"1,006","1,442","1,600","1,893","1,912","1,827","1,758","1,584","1,428","1,021",652,709,,"20,067","19,223","18,478","6,452","5,394","12,423",606,869,"1,006",927,487,425,462,718,732,925,951,888,867,762,701,492,298,307,,"9,724","9,307","8,910","3,085","2,560","12,968",570,839,"1,004",872,516,438,544,724,868,968,961,939,891,822,727,529,354,402,,"10,343","9,916","9,568","3,367","2,834",,45.2,44.9,45.6,,"25,391","22,418","18,489",180,58,"3,201",28,462,"2,973",,"28,603","21,336",475,366,"4,415",134,"1,877",,"25,391","2,075","23,316",,"25,391","2,075",539,10,34,42,8,299,"1,143","23,316","17,950",170,24,"3,159",20,163,"1,830",,"25,391","25,317","9,504","6,075",51,386,26,"8,155","5,951",147,103,502,471,74,46,25,21,28,17,11,,"9,506","6,122","2,694",416,90,"1,131",754,327,147,"1,837","1,117",700,297,"3,401","3,640",,"9,999","9,506",493,135,18,53,26,96,165,,0.7,5.1,,"9,506","7,024","2,482",Contra Costa County
8,Martinez,,"37,287","1,924","2,026","1,996","1,972","1,808","2,138","2,545","2,763","2,504","2,272","2,596","3,005","2,911","2,448","1,897","1,195",698,589,,"30,933","30,107","28,989","8,569","6,827","18,174",995,992,"1,047","1,036",954,"1,114","1,260","1,368","1,256","1,099","1,251","1,379","1,329","1,131",876,547,306,234,,"14,928","14,494","13,897","3,882","3,094","19,113",929,"1,034",949,936,854,"1,024","1,285","1,395","1,248","1,173","1,345","1,626","1,582","1,317","1,021",648,392,355,,"16,005","15,613","15,092","4,687","3,733",,42.9,41.2,44.6,,"37,287","31,840","24,191","1,390",264,"3,828",117,"2,050","5,447",,"43,276","29,263","2,071","1,282","5,408",427,"4,825",,"37,287","6,670","30,617",,"37,287","6,670","1,633",76,172,82,11,"1,869","2,827","30,617","22,558","1,314",92,"3,746",106,181,"2,620",,"37,287","36,378","14,881","7,219",104,973,66,"9,976","6,491",558,397,"1,346","1,255",909,768,614,154,141,95,46,,"14,851","7,319","2,855","1,030",249,"2,353","1,590",569,190,"4,149","2,469","1,218",522,"4,238","5,037",,"15,360","14,851",509,221,18,57,18,27,168,,0.6,4.3,,"14,851","10,007","4,844",Contra Costa County
9,Moraga,,"16,870",667,943,"1,206","1,919","1,614",407,453,704,927,"1,156","1,295","1,121","1,075",942,834,657,462,488,,"13,766","13,182","11,590","4,009","3,383","8,108",340,462,639,890,770,209,225,330,422,555,596,546,511,471,397,319,206,220,,"6,519","6,234","5,519","1,915","1,613","8,762",327,481,567,"1,029",844,198,228,374,505,601,699,575,564,471,437,338,256,268,,"7,247","6,948","6,071","2,094","1,770",,42.9,42.1,43.5,,"16,870","14,781","10,877",211,42,"3,182",42,427,"2,089",,"19,125","12,869",378,273,"4,173",125,"1,307",,"16,870","1,652","15,218",,"16,870","1,652",437,14,29,39,3,357,773,"15,218","10,440",197,13,"3,143",39,70,"1,316",,"16,870","15,379","5,678","3,789",25,141,8,"5,006","3,524",75,51,299,358,"1,491",47,24,23,"1,444",627,817,,"5,698","3,815","1,713",161,49,579,365,189,78,"1,143",637,457,183,"2,131","2,300",,"5,932","5,698",234,53,9,47,13,48,64,,1.0,4.7,,"5,698","4,624","1,074",Contra Costa County
10,Oakley,,"43,357","2,782","3,274","3,489","3,279","2,660","2,619","3,146","3,355","3,027","2,857","2,775","2,848","2,468","1,824","1,331",779,480,364,,"33,151","31,769","29,944","6,217","4,778","21,251","1,376","1,660","1,779","1,660","1,371","1,315","1,547","1,637","1,484","1,397","1,351","1,400","1,170",825,613,333,202,131,,"16,122","15,390","14,457","2,807","2,104","22,106","1,406","1,614","1,710","1,619","1,289","1,304","1,599","1,718","1,543","1,460","1,424","1,448","1,298",999,718,446,278,233,,"17,029","16,379","15,487","3,410","2,674",,35.6,34.7,36.6,,"43,357","35,722","19,917","3,627",448,"4,107",303,"7,320","7,635",,"51,786","26,856","4,696","1,850","5,713",665,"12,006",,"43,357","15,928","27,429",,"43,357","15,928","3,206",180,333,145,56,"7,056","4,952","27,429","16,711","3,447",115,"3,962",247,264,"2,683",,"43,357","43,244","13,067","7,891",74,836,27,"15,457","9,906","1,369","1,082","3,080","1,443",113,25,13,12,88,55,33,,"13,045","7,968","3,917",863,381,"1,615",757,242,269,"2,599","1,020",538,599,"5,945","3,623",,"13,379","13,045",334,101,5,72,26,29,101,,0.7,3.3,,"13,045","10,067","2,978",Contra Costa County
11,Orinda,,"19,514","1,003","1,399","1,551","1,328",703,453,537,"1,036","1,275","1,447","1,452","1,455","1,318","1,281","1,219",917,547,593,,"15,253","14,655","14,079","5,354","4,557","9,586",498,744,776,685,347,240,259,475,596,724,726,721,619,625,587,452,268,244,,"7,405","7,114","6,803","2,554","2,176","9,928",505,655,775,643,356,213,278,561,679,723,726,734,699,656,632,465,279,349,,"7,848","7,541","7,276","2,800","2,381",,46.6,46.0,47.3,,"19,514","17,353","13,423",196,31,"3,401",20,282,"2,161",,"21,832","15,491",379,245,"4,419",111,"1,187",,"19,514","1,285","18,229",,"19,514","1,285",326,8,14,13,4,168,752,"18,229","13,097",188,17,"3,388",16,114,"1,409",,"19,514","19,475","6,949","4,987",63,187,19,"6,381","4,684",110,82,378,401,39,35,15,20,4,1,3,,"6,957","5,049","2,296",197,49,597,367,233,78,"1,114",749,595,111,"2,656","2,986",,"7,232","6,957",275,28,9,46,19,57,116,,0.7,3.2,,"6,957","6,132",825,Contra Costa County
12,Pinole,,"19,022",847,966,973,988,"1,052","1,148","1,279","1,335","1,181","1,096","1,211","1,461","1,417","1,298","1,084",725,472,489,,"16,042","15,626","15,064","4,864","4,068","9,061",416,502,505,493,554,593,628,641,563,503,559,655,674,606,483,300,204,182,,"7,537","7,340","7,057","2,163","1,775","9,961",431,464,468,495,498,555,651,694,618,593,652,806,743,692,601,425,268,307,,"8,505","8,286","8,007","2,701","2,293",,43.8,41.9,46.2,,"19,022","16,409","6,267","2,099",216,"4,887",83,"2,857","2,613",,"21,909","8,482","2,588",662,"5,628",268,"4,281",,"19,022","5,093","13,929",,"19,022","5,093",712,49,153,76,10,"2,665","1,428","13,929","5,555","2,050",63,"4,811",73,192,"1,185",,"19,022","18,861","6,873","3,392",56,396,25,"5,222","2,772",514,349,"1,694",689,161,101,29,72,60,33,27,,"6,860","3,447","1,134",423,123,"1,057",610,262,93,"1,933",900,547,269,"2,030","2,889",,"7,106","6,860",246,95,18,30,23,19,61,,0.6,4.5,,"6,860","4,870","1,990",Contra Costa County
13,Pittsburg,,"76,416","4,734","4,999","5,424","5,454","5,272","5,637","5,727","5,587","5,175","4,768","4,685","4,777","4,591","3,556","2,650","1,538",973,869,,"60,171","57,901","54,728","12,245","9,586","37,209","2,408","2,571","2,732","2,786","2,707","2,798","2,843","2,722","2,475","2,359","2,269","2,205","2,163","1,676","1,146",669,369,311,,"28,909","27,770","26,170","5,416","4,171","39,207","2,326","2,428","2,692","2,668","2,565","2,839","2,884","2,865","2,700","2,409","2,416","2,572","2,428","1,880","1,504",869,604,558,,"31,262","30,131","28,558","6,829","5,415",,35.7,34.6,37.0,,"76,416","65,459","15,893","12,865","1,098","15,069",880,"19,654","10,957",,"88,539","25,140","15,145","2,638","17,355","1,510","26,751",,"76,416","32,300","44,116",,"76,416","32,300","4,005",424,880,344,55,"19,137","7,455","44,116","11,888","12,441",218,"14,725",825,517,"3,502",,"76,416","75,930","23,388","11,162",178,"1,670",82,"24,951","14,814","2,886","2,243","8,349","3,264",486,143,65,78,343,199,144,,"23,370","11,349","5,140","1,730",774,"3,704","1,802",561,463,"6,587","2,316","1,132","1,610","9,652","7,118",,"24,078","23,370",708,385,54,59,18,18,174,,0.4,3.6,,"23,370","13,199","10,171",Contra Costa County
14,Pleasant Hill,,"34,613","1,978","1,802","1,835","1,869","1,776","2,008","2,465","2,673","2,304","2,181","2,304","2,446","2,350","2,209","1,744","1,053",688,928,,"28,619","27,878","26,733","7,971","6,622","16,693","1,000",938,945,969,948,"1,036","1,220","1,292","1,108","1,059","1,125","1,154","1,063",996,800,474,278,288,,"13,619","13,233","12,614","3,433","2,836","17,920",978,864,890,900,828,972,"1,245","1,381","1,196","1,122","1,179","1,292","1,287","1,213",944,579,410,640,,"15,000","14,645","14,119","4,538","3,786",,41.7,40.0,43.6,,"34,613","29,970","21,825",921,201,"5,329",110,"1,584","4,643",,"39,713","26,183","1,434",859,"6,887",325,"4,025",,"34,613","4,957","29,656",,"34,613","4,957","1,109",49,111,88,8,"1,340","2,252","29,656","20,716",872,90,"5,241",102,244,"2,391",,"34,613","34,005","13,919","6,855",101,847,80,"9,210","6,257",406,271,"1,169","1,418",608,348,141,207,260,121,139,,"13,918","6,963","2,952",926,174,"2,267","1,464",490,169,"3,762","2,185","1,164",421,"4,090","4,651",,"14,458","13,918",540,307,18,48,7,29,131,,0.5,5.5,,"13,918","8,683","5,235",Contra Costa County
15,Richmond,,"116,448","6,643","7,077","7,642","7,401","7,396","8,727","9,526","9,326","8,301","7,595","7,165","7,166","6,624","5,683","4,525","2,638","1,551","1,462",,"93,601","90,632","86,206","19,748","15,859","57,132","3,370","3,655","3,848","3,840","3,905","4,314","4,818","4,624","4,114","3,779","3,465","3,468","3,026","2,594","2,043","1,109",659,501,,"45,505","43,982","41,570","8,649","6,906","59,316","3,273","3,422","3,794","3,561","3,491","4,413","4,708","4,702","4,187","3,816","3,700","3,698","3,598","3,089","2,482","1,529",892,961,,"48,096","46,650","44,636","11,099","8,953",,36.9,35.7,38.2,,"116,448","101,213","23,452","22,254","2,395","16,740",652,"35,720","15,235",,"133,359","36,224","25,307","5,015","19,397","1,175","46,241",,"116,448","51,912","64,536",,"116,448","51,912","4,467",501,"2,129",280,43,"34,477","10,015","64,536","18,985","21,753",266,"16,460",609,"1,243","5,220",,"116,448","114,239","38,699","15,654",472,"2,823",242,"33,851","20,572","3,697","2,798","12,021","6,780","2,209",665,571,94,"1,544",884,660,,"38,677","16,115","7,050","3,074","1,198","7,219","3,987","1,295",747,"12,269","5,319","2,509","2,478","13,638","11,735",,"40,375","38,677","1,698",578,88,143,98,145,646,,0.7,3.0,,"38,677","19,812","18,865",Contra Costa County
16,San Pablo,,"32,127","1,917","2,137","2,440","2,455","2,334","2,391","2,519","2,480","2,287","2,061","1,982","1,860","1,575","1,268","1,055",571,384,411,,"25,120","24,168","22,679","4,584","3,689","15,986",991,"1,094","1,243","1,271","1,212","1,241","1,243","1,289","1,126","1,001","1,025",887,771,579,482,237,157,137,,"12,370","11,891","11,132","2,019","1,592","16,141",926,"1,043","1,197","1,184","1,122","1,150","1,276","1,191","1,161","1,060",957,973,804,689,573,334,227,274,,"12,750","12,277","11,547","2,565","2,097",,34.7,33.6,35.7,,"32,127","27,877","4,173","4,012",722,"5,018",145,"13,807","4,250",,"36,839","7,812","4,546","1,442","5,471",310,"17,258",,"32,127","19,610","12,517",,"32,127","19,610","1,741",138,673,94,18,"13,518","3,428","12,517","2,432","3,874",49,"4,924",127,289,822,,"32,127","31,722","9,562","4,199",65,702,40,"10,759","6,439","1,062",814,"3,683","1,650",405,328,159,169,77,49,28,,"9,545","4,258","2,213",729,395,"1,763",824,281,205,"2,795",902,445,720,"4,281","2,712",,"9,941","9,545",396,179,23,20,35,0,139,,0.5,3.2,,"9,545","4,110","5,435",Contra Costa County
17,San Ramon,,"84,605","3,891","6,081","8,243","7,222","4,094","3,189","3,945","5,708","7,555","8,546","7,102","5,551","3,961","3,081","2,739","1,780","1,066",851,,"64,752","61,497","58,209","11,748","9,517","41,595","1,968","3,144","4,248","3,774","2,125","1,596","1,755","2,550","3,403","4,339","3,610","2,895","1,994","1,365","1,218",805,484,322,,"31,367","29,692","27,975","5,309","4,194","43,010","1,923","2,937","3,995","3,448","1,969","1,593","2,190","3,158","4,152","4,207","3,492","2,656","1,967","1,716","1,521",975,582,529,,"33,385","31,805","30,234","6,439","5,323",,39.9,39.4,40.4,,"84,605","76,866","28,741","2,227",222,"43,270",210,"2,196","7,739",,"93,125","35,854","3,227","1,107","46,660",646,"5,631",,"84,605","7,102","77,503",,"84,605","7,102","1,601",114,122,218,36,"1,769","3,242","77,503","27,140","2,113",100,"43,052",174,427,"4,497",,"84,605","84,522","28,442","19,192",82,992,75,"30,454","22,369",562,427,"3,488","1,235",83,29,16,13,54,28,26,,"28,447","19,266","11,427","1,059",235,"3,020","1,845",470,423,"5,102","2,724","1,196","1,060","13,567","6,587",,"29,146","28,447",699,405,35,74,30,55,100,,0.4,4.3,,"28,447","19,401","9,046",Contra Costa County
