,City,HOUSEHOLDS BY TYPE,    Total households,        Married-couple household,            With children of the householder under 18 years,        Cohabiting couple household,            With children of the householder under 18 years,"        Male householder, no spouse/partner present",            With children of the householder under 18 years,            Householder living alone,                65 years and over,"        Female householder, no spouse/partner present",            With children of the householder under 18 years,            Householder living alone,                65 years and over,        Households with one or more people under 18 years,        Households with one or more people 65 years and over,        Average household size,        Average family size,RELATIONSHIP,    Population in households,        Householder,        Spouse,        Unmarried partner,        Child,        Other relatives,        Other nonrelatives,MARITAL STATUS,    Males 15 years and over,        Never married,"        Now married, except separated",        Separated,        Widowed,        Divorced,    Females 15 years and over,        Never married,"        Now married, except separated",        Separated,        Widowed,        Divorced,FERTILITY,    Number of women 15 to 50 years old who had a birth in the past 12 months,"        Unmarried women (widowed, divorced, and never married)","            Per 1,000 unmarried women","        Per 1,000 women 15 to 50 years old","        Per 1,000 women 15 to 19 years old","        Per 1,000 women 20 to 34 years old","        Per 1,000 women 35 to 50 years old",GRANDPARENTS,    Number of grandparents living with own grandchildren under 18 years,        Grandparents responsible for grandchildren,        Years responsible for grandchildren,            Less than 1 year,            1 or 2 years,            3 or 4 years,            5 or more years,    Number of grandparents responsible for own grandchildren under 18 years,        Who are female,        Who are married,SCHOOL ENROLLMENT,    Population 3 years and over enrolled in school,"        Nursery school, preschool",        Kindergarten,        Elementary school (grades 1-8),        High school (grades 9-12),        College or graduate school,EDUCATIONAL ATTAINMENT,    Population 25 years and over,        Less than 9th grade,"        9th to 12th grade, no diploma",        High school graduate (includes equivalency),"        Some college, no degree",        Associate's degree,        Bachelor's degree,        Graduate or professional degree,        High school graduate or higher,        Bachelor's degree or higher,VETERAN STATUS,    Civilian population 18 years and over,        Civilian veterans,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION,    Total Civilian Noninstitutionalized Population,        With a disability,    Under 18 years,        With a disability,    18 to 64 years,        With a disability,    65 years and over,        With a disability,RESIDENCE 1 YEAR AGO,    Population 1 year and over,        Same house,        Different house (in the U.S. or abroad),            Different house in the U.S.,                Same county,                Different county,                    Same state,                    Different state,            Abroad,PLACE OF BIRTH,    Total population,        Native,            Born in United States,                State of residence,                Different state,"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",        Foreign born,U.S. CITIZENSHIP STATUS,    Foreign-born population,        Naturalized U.S. citizen,        Not a U.S. citizen,YEAR OF ENTRY,    Population born outside the United States,        Native,            Entered 2010 or later,            Entered before 2010,        Foreign born,            Entered 2010 or later,            Entered before 2010,WORLD REGION OF BIRTH OF FOREIGN BORN,"    Foreign-born population, excluding population born at sea",        Europe,        Asia,        Africa,        Oceania,        Latin America,        Northern America,LANGUAGE SPOKEN AT HOME,    Population 5 years and over,        English only,        Language other than English,"            Speak English less than ""very well""",        Spanish,"            Speak English less than ""very well""",        Other Indo-European languages,"            Speak English less than ""very well""",        Asian and Pacific Islander languages,"            Speak English less than ""very well""",        Other languages,"            Speak English less than ""very well""",ANCESTRY,    Total population,        American,        Arab,        Czech,        Danish,        Dutch,        English,        French (except Basque),        French Canadian,        German,        Greek,        Hungarian,        Irish,        Italian,        Lithuanian,        Norwegian,        Polish,        Portuguese,        Russian,        Scotch-Irish,        Scottish,        Slovak,        Subsaharan African,        Swedish,        Swiss,        Ukrainian,        Welsh,        West Indian (excluding Hispanic origin groups),COMPUTERS AND INTERNET USE,    Total households,        With a computer,        With a broadband Internet subscription,County
1,Concord,,"46,375","22,391","8,536","3,836","1,177","8,073",947,"5,613","1,584","12,075","1,708","5,889","2,976","14,603","14,819",2.65,3.17,,"122,982","46,375","22,049","3,981","34,522","10,706","5,349",,"49,977","19,160","26,892",601,"1,197","2,127","52,314","15,659","25,240",925,"4,410","6,080",,"3,111","1,249",75,104,0,88,138,,N,N,,N,N,N,N,N,N,N,,"27,301",989,"1,712","10,117","6,194","8,289",,"89,720","5,400","4,420","20,152","19,182","7,830","23,283","9,453","79,900","32,736",,"98,416","3,893",,"123,569","14,491","25,628","1,662","77,564","5,803","20,377","7,026",,"122,634","108,867","13,767","13,394","9,265","4,129","2,545","1,584",373,,"124,091","93,274","91,436","74,444","16,992","1,838","30,817",,"30,817","17,679","13,138",,"32,655","1,838",601,"1,237","30,817","6,487","24,330",,N,N,N,N,N,N,N,,"115,856","70,545","45,311","19,258","28,061","12,848","5,603","1,693","9,972","4,437","1,675",280,,"124,091","2,796","2,524",86,"1,711",875,"14,230","1,879",139,"10,315",318,100,"11,602","5,017",0,"1,713","1,782","1,063",813,723,"1,738",41,"1,458","1,000",142,395,641,561,,"46,375","45,396","43,976",Contra Costa County
2,Pittsburg,,"23,827","11,314","5,281","3,327","1,916","4,272",531,"1,958",593,"4,914",964,"1,898","1,039","9,929","6,701",3.20,3.53,,"76,222","23,827","11,508","3,302","22,967","11,937","2,681",,"33,705","16,271","14,459",612,257,"2,106","30,417","11,004","13,679",840,"1,610","3,284",,"1,421",714,67,76,0,100,75,,N,N,,N,N,N,N,N,N,N,,"17,536",603,"1,242","5,777","5,356","4,558",,"51,908","7,241","5,470","12,839","10,670","4,931","8,407","2,350","39,197","10,757",,"60,424","1,745",,"76,198","9,633","15,928",675,"51,239","5,833","9,031","3,125",,"75,703","67,826","7,877","7,659","4,956","2,703","2,352",351,218,,"76,551","50,435","49,038","44,002","5,036","1,397","26,116",,"26,116","12,315","13,801",,"27,513","1,397",128,"1,269","26,116","3,186","22,930",,N,N,N,N,N,N,N,,"71,882","32,271","39,611","17,071","26,064","11,758","3,425","1,160","9,706","4,015",416,138,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,"23,827","22,512","22,068",Contra Costa County
3,Richmond,,"40,019","17,365","6,313","2,566",979,"5,955",190,"3,791","1,309","14,133","4,096","5,645","2,754","14,160","13,210",2.86,3.35,,"114,478","40,019","17,415","2,676","35,311","14,754","4,303",,"42,681","16,601","21,496",547,640,"3,397","50,226","20,828","20,142","1,330","2,647","5,279",,"2,765","1,196",65,94,70,115,76,,N,N,,N,N,N,N,N,496,763,,"27,551","1,353","1,352","11,816","5,984","7,046",,"81,025","8,228","5,911","16,570","16,420","4,534","16,553","12,809","66,886","29,362",,"89,804","2,899",,"114,921","12,136","25,702",549,"71,281","5,914","17,938","5,673",,"113,759","104,604","9,155","8,890","4,142","4,748","4,202",546,265,,"115,642","79,707","77,761","60,188","17,573","1,946","35,935",,"35,935","16,504","19,431",,"37,881","1,946",440,"1,506","35,935","7,927","28,008",,N,N,N,N,N,N,N,,"108,536","55,612","52,924","24,528","38,290","17,924","5,271","2,462","8,236","4,025","1,127",117,,"115,642","1,526","2,270",101,284,105,"3,314",715,0,"3,611",142,50,"4,465","2,774",41,"1,311",706,"1,340","1,138",106,952,0,"1,493",620,110,121,470,121,,"40,019","38,704","37,788",Contra Costa County
4,San Ramon,,"29,662","19,693","12,678","1,424",338,"3,131",659,"1,554",501,"5,414","1,207","2,524","2,141","15,047","7,976",2.93,3.31,,"86,846","29,662","19,708","1,414","31,049","3,672","1,341",,"33,204","9,355","20,484",651,730,"1,984","32,997","7,522","20,616",180,"2,389","2,290",,"1,206",0,0,61,0,92,62,,N,N,,N,N,N,N,N,N,N,,"27,450",863,"1,346","12,953","5,838","6,450",,"56,663",850,"1,170","5,009","5,840","4,573","22,941","16,280","54,643","39,221",,"61,632","2,076",,"86,933","5,262","25,301",618,"50,846","2,016","10,786","2,628",,"86,061","74,266","11,795","10,873","3,942","6,931","5,932",999,922,,"86,939","55,673","54,062","40,601","13,461","1,611","31,266",,"31,266","19,758","11,508",,"32,877","1,611",932,679,"31,266","10,100","21,166",,N,N,N,N,N,N,N,,"82,340","46,227","36,113","8,814","3,439",724,"12,217","3,008","19,341","4,829","1,116",253,,"86,939",980,"1,273",0,238,626,"5,370","1,069",23,"5,087",827,40,"3,741","2,716",0,363,"1,320","1,588","1,115",239,880,160,410,"1,431",0,28,257,63,,"29,662","29,277","28,699",Contra Costa County
5,Walnut Creek,,"31,035","15,529","6,244","1,920",79,"4,572",563,"3,459","1,708","9,014",526,"7,331","4,932","7,480","13,440",2.22,2.92,,"68,763","31,035","15,179","1,957","17,191","2,604",797,,"27,601","7,522","17,027",608,794,"1,650","31,346","7,732","15,964",390,"3,263","3,997",,"1,428",324,42,95,0,96,122,,N,N,,N,N,N,N,N,N,N,,"14,721",470,805,"5,352","3,336","4,758",,"51,851",633,765,"5,602","5,810","2,815","21,268","14,958","50,453","36,226",,"56,571","3,249",,"68,713","8,015","12,801",366,"37,952","2,260","17,960","5,389",,"68,726","56,492","12,234","11,229","4,437","6,792","5,330","1,462","1,005",,"69,705","52,359","50,720","31,644","19,076","1,639","17,346",,"17,346","10,393","6,953",,"18,985","1,639",569,"1,070","17,346","6,277","11,069",,N,N,N,N,N,N,N,,"65,881","46,711","19,170","6,012","4,403",896,"8,688","2,307","4,990","2,460","1,089",349,,"69,705","1,647",615,240,512,754,"13,710","1,687",80,"9,473",530,437,"8,570","5,003",270,"1,000","1,688",284,"2,974",139,"1,367",85,518,851,527,444,701,42,,"31,035","30,602","30,103",Contra Costa County
0,Corte Madera,,"3,930","2,210","1,181",252,68,396,33,285,133,"1,072",263,613,353,"1,545","1,237",2.58,3.10,,"10,145","3,930","2,196",216,"3,470",163,170,,"3,816","1,114","2,370",0,108,224,"3,931",805,"2,104",40,243,739,,135,44,65,82,0,275,25,,0,0,,0,0,0,0,0,0,0,,"2,985",277,307,"1,233",501,667,,"6,735",19,0,613,819,294,"2,568","2,422","6,716","4,990",,"7,453",149,,"10,145",717,"2,692",107,"5,668",178,"1,785",432,,"9,935","8,834","1,101","1,055",272,783,635,148,46,,"10,145","8,940","8,734","5,196","3,538",206,"1,205",,"1,205",772,433,,"1,411",206,114,92,"1,205",196,"1,009",,"1,205",399,326,0,98,312,70,,"9,502","8,191","1,311",245,410,25,543,116,281,104,77,0,,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),,"3,930","3,858","3,773",Marin County
1,Fairfax,,"3,410","1,477",461,389,123,551,16,347,161,993,111,646,379,749,"1,270",2.22,2.70,,"7,572","3,410","1,438",355,"1,712",141,516,,"3,208","1,067","1,526",0,114,501,"3,523","1,242","1,548",15,252,466,,159,75,80,99,0,22,177,,64,22,,0,9,0,13,22,17,9,,"1,429",105,59,393,476,396,,"5,900",26,125,452,992,420,"2,232","1,653","5,749","3,885",,"6,470",227,,"7,589",799,"1,135",0,"4,656",206,"1,798",593,,"7,461","6,627",834,754,308,446,394,52,80,,"7,605","6,758","6,609","4,257","2,352",149,847,,847,457,390,,996,149,34,115,847,195,652,,847,242,287,0,0,253,65,,"7,245","6,339",906,273,526,198,205,0,104,75,71,0,,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),,"3,410","3,317","3,204",Marin County
2,Larkspur,,"6,213","2,680","1,075",265,65,"1,067",99,859,327,"2,201",217,"1,650",966,"1,472","2,392",2.07,2.75,,"12,855","6,213","2,551",311,"2,879",495,406,,"4,981","1,033","2,957",93,134,764,"5,930","1,547","2,502",97,465,"1,319",,134,10,7,52,0,99,33,,69,35,,0,0,0,35,35,35,0,,"2,685",245,27,"1,244",538,631,,"10,010",263,101,783,"1,202",517,"3,841","3,303","9,646","7,144",,"10,600",409,,"12,897","1,388","2,372",14,"7,398",425,"3,127",949,,"12,844","10,864","1,980","1,912",726,"1,186",995,191,68,,"12,972","10,655","10,418","5,719","4,699",237,"2,317",,"2,317","1,244","1,073",,"2,554",237,125,112,"2,317",667,"1,650",,"2,317",727,708,42,70,733,37,,"12,354","10,031","2,323",808,847,354,973,259,372,156,131,39,,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),,"6,213","6,053","5,932",Marin County
3,Mill Valley,,"5,622","3,229","1,327",399,30,574,52,432,269,"1,420",258,873,551,"1,737","2,016",2.52,2.97,,"14,176","5,622","3,225",466,"4,055",246,562,,"5,791","1,744","3,494",15,102,436,"6,300","1,508","3,229",44,444,"1,075",,76,30,19,25,0,28,30,,120,29,,0,0,0,29,29,14,29,,"3,519",243,150,"1,308","1,213",605,,"10,520",50,77,791,"1,160",508,"4,140","3,794","10,393","7,934",,"11,226",425,,"14,183","1,096","3,014",9,"8,224",350,"2,945",737,,"14,194","12,371","1,823","1,719",592,"1,127",902,225,104,,"14,240","12,304","11,837","5,721","6,116",467,"1,936",,"1,936","1,325",611,,"2,403",467,103,364,"1,936",472,"1,464",,"1,936","1,010",590,137,0,15,184,,"13,825","12,101","1,724",326,177,21,"1,235",236,295,69,17,0,,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),,"5,622","5,465","5,338",Marin County
4,Novato,,"20,682","11,375","4,153","1,193",341,"3,128",252,"1,945",797,"4,986",569,"3,349","2,167","5,595","8,519",2.54,3.05,,"52,586","20,682","11,568","1,241","14,517","2,556","2,022",,"22,871","7,550","12,794",376,533,"1,618","22,341","5,815","11,429",323,"1,724","3,050",,527,33,6,53,16,65,55,,720,171,,92,10,26,43,171,97,105,,"10,796",394,698,"4,355","2,779","2,570",,"39,449","2,147","1,201","5,911","8,294","3,558","11,688","6,650","36,101","18,338",,"42,978","2,809",,"53,040","5,468","10,191",262,"30,507","2,414","12,342","2,792",,"52,670","46,490","6,180","5,814","3,260","2,554","1,795",759,366,,"53,214","41,612","40,820","28,254","12,566",792,"11,602",,"11,602","6,367","5,235",,"12,394",792,71,721,"11,602","1,832","9,770",,"11,602","2,000","2,711",244,133,"6,084",430,,"50,897","37,267","13,630","5,577","8,374","3,513","2,877",856,"1,943","1,016",436,192,,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),,"20,682","19,699","19,140",Marin County
5,San Anselmo,,"4,995","2,805","1,331",455,117,664,59,482,287,"1,071",147,753,425,"1,786","1,643",2.55,3.06,,"12,723","4,995","2,748",414,"3,845",290,431,,"4,896","1,165","3,024",103,105,499,"5,405","1,610","2,623",48,209,915,,83,15,10,31,0,22,46,,179,128,,0,8,13,107,128,81,66,,"3,391",300,227,"1,336",873,655,,"8,945",51,137,652,"1,106",533,"3,847","2,619","8,757","6,466",,"9,705",335,,"12,763",878,"3,087",144,"7,425",331,"2,251",403,,"12,713","11,395","1,318","1,303",760,543,486,57,15,,"12,795","11,952","11,707","8,069","3,638",245,843,,843,475,368,,"1,088",245,30,215,843,241,602,,843,279,400,33,4,82,45,,"12,091","11,389",702,177,118,7,304,51,241,119,39,0,,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),,"4,995","4,895","4,853",Marin County
6,San Rafael,,"23,816","10,882","4,276","1,505",372,"3,758",325,"2,573",901,"7,671",780,"5,207","2,972","6,389","8,818",2.48,3.13,,"59,114","23,816","10,826","1,426","14,894","4,181","3,971",,"24,512","8,377","12,266",534,567,"2,768","26,495","8,085","11,464",675,"2,185","4,086",,662,212,29,51,0,63,55,,638,274,,5,0,0,269,274,111,211,,"14,817",808,923,"5,685","2,908","4,493",,"43,941","4,109","1,864","4,862","8,200","2,743","12,954","9,209","37,968","22,163",,"48,892","1,548",,"60,388","5,825","12,262",347,"36,028","2,406","12,098","3,072",,"60,664","51,902","8,762","8,093","4,616","3,477","2,846",631,669,,"61,158","44,527","43,254","29,369","13,885","1,273","16,631",,"16,631","5,919","10,712",,"17,904","1,273",364,909,"16,631","4,377","12,254",,"16,631","2,588","2,977",565,234,"9,774",493,,"58,355","37,756","20,599","10,216","14,600","8,263","3,058",734,"2,183","1,004",758,215,,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),,"23,816","23,011","22,032",Marin County
7,Sausalito,,"4,117","1,401",211,412,24,621,73,456,220,"1,683",30,"1,463",618,345,"1,698",1.76,2.43,,"7,238","4,117","1,402",481,858,89,291,,"2,862",838,"1,588",32,92,312,"3,885","1,269","1,330",15,571,700,,101,23,23,74,0,13,140,,52,0,,0,0,0,0,0,0,0,,752,31,22,239,61,399,,"6,434",164,2,235,"1,044",428,"2,283","2,278","6,268","4,561",,"6,699",166,,"7,253",786,554,0,"4,385",287,"2,314",499,,"7,152","6,051","1,101","1,038",278,760,676,84,63,,"7,260","6,181","6,033","3,244","2,789",148,"1,079",,"1,079",705,374,,"1,227",148,36,112,"1,079",185,894,,"1,079",589,360,32,30,18,50,,"7,018","6,257",761,149,98,10,460,113,139,10,64,16,,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),,"4,117","4,056","3,841",Marin County
8,Tiburon,,"3,515","2,315",916,168,57,245,9,213,167,787,121,521,282,"1,135","1,422",2.59,2.98,,"9,117","3,515","2,352",162,"2,562",271,255,,"3,820",988,"2,472",9,105,246,"3,885",809,"2,328",12,365,371,,77,0,0,47,0,112,51,,57,0,,0,0,0,0,0,0,0,,"2,289",182,0,"1,066",579,462,,"6,720",23,50,328,835,271,"2,687","2,526","6,647","5,213",,"7,250",268,,"9,117",928,"1,896",24,"5,108",347,"2,113",557,,"9,086","7,759","1,327",951,208,743,458,285,376,,"9,146","7,036","6,926","3,801","3,125",110,"2,110",,"2,110","1,204",906,,"2,220",110,57,53,"2,110",638,"1,472",,"2,110",775,490,125,56,585,79,,"8,817","6,677","2,140",440,304,32,"1,423",289,398,119,15,0,,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),,"3,515","3,479","3,432",Marin County
0,Napa,,"30,418","15,303","5,696","2,139",755,"4,570","1,196","2,208",789,"8,406","1,076","5,947","2,988","9,162","10,349",2.57,3.15,,"78,121","30,418","15,476","2,261","22,262","5,527","2,177",,"33,193","11,671","17,617",748,781,"2,376","32,580","8,984","15,442",643,"3,073","4,438",,N,N,N,N,N,N,N,,N,N,,N,N,N,N,N,N,N,,"17,399",723,603,"7,228","3,865","4,980",,"55,826","6,908","2,593","10,262","10,814","5,436","12,315","7,498","46,325","19,813",,"62,435","2,858",,"78,477","9,218","16,377",436,"47,936","3,555","14,164","5,227",,"78,040","71,311","6,729","6,475","2,906","3,569","3,440",129,254,,"78,824","60,941","59,875","45,917","13,958","1,066","17,883",,"17,883","8,366","9,517",,"18,949","1,066",197,869,"17,883","3,214","14,669",,N,N,N,N,N,N,N,,"74,677","48,479","26,198","13,426","23,430","12,503","1,693",384,"1,032",496,43,43,,"78,824","1,814",293,315,489,358,"7,349","1,061",93,"9,750",181,67,"7,746","2,595",119,808,"1,424",502,668,314,"1,170",0,275,979,0,193,281,89,,"30,418","29,178","28,655",Napa County
0,San Francisco,,"350,796","131,149","45,949","34,791","3,096","89,479","2,493","68,176","16,880","95,377","8,917","61,524","24,217","67,024","102,061",2.27,3.05,,"797,995","350,796","130,647","35,304","154,799","64,110","62,339",,"367,492","176,111","155,812","4,466","5,002","26,101","351,430","141,276","147,859","5,916","25,441","30,938",,"6,806",956,8,33,18,30,38,,"13,953","2,086",,847,574,64,601,"2,086","1,461","1,203",,"146,583","8,718","6,826","46,180","23,856","61,003",,"647,880","45,588","24,395","74,318","75,272","33,727","224,159","170,421","577,897","394,580",,"700,985","18,703",,"811,674","96,799","113,708","3,825","557,180","44,595","140,786","48,379",,"806,418","657,551","148,867","141,328","81,344","59,984","44,270","15,714","7,539",,"815,201","535,852","517,322","339,417","177,905","18,530","279,349",,"279,349","169,907","109,442",,"297,879","18,530","4,990","13,540","279,349","74,910","204,439",,"279,349","36,768","180,275","5,199","3,092","50,097","3,918",,"780,369","436,676","343,693","153,347","85,615","33,384","55,237","10,214","195,158","107,777","7,683","1,972",,"815,201","14,136","6,643","2,793","2,942","3,649","55,700","18,157","2,654","55,480","6,442","3,354","58,962","36,245","1,323","7,537","16,050","3,039","14,856","4,105","13,420","1,238","9,470","9,798","3,163","3,774","3,891","1,621",,"350,796","338,659","325,302",San Francisco County
0,Daly City,,"32,887","16,078","5,272","1,513",365,"7,023",0,"3,668","1,506","8,273",452,"3,756","2,047","8,110","15,036",3.06,3.61,,"100,514","32,887","16,077","1,532","23,348","19,923","6,747",,"46,541","20,112","20,481",898,"2,025","3,025","43,324","13,634","21,272",722,"3,991","3,705",,N,N,N,N,N,N,N,,N,N,,N,N,N,N,N,"1,114",N,,"21,314",712,373,"6,930","5,140","8,159",,"77,014","4,577","5,271","17,236","15,690","6,365","20,592","7,283","67,166","27,875",,"87,592","2,549",,"100,844","10,513","13,591",469,"64,806","3,921","22,447","6,123",,"100,732","92,332","8,400","8,135","5,376","2,759","2,668",91,265,,"101,221","50,810","47,446","42,045","5,401","3,364","50,411",,"50,411","36,557","13,854",,"53,775","3,364",456,"2,908","50,411","8,028","42,383",,N,N,N,N,N,N,N,,"98,811","42,703","56,108","27,022","11,774","5,175","3,878","1,132","39,071","19,607","1,385","1,108",,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,"32,887","32,252","30,826",San Mateo County
1,Redwood City,,"29,450","16,559","6,884","2,164",357,"5,400",505,"3,842",685,"5,327",472,"2,458","1,142","8,955","6,698",2.72,3.25,,"79,977","29,450","16,318","2,219","22,525","6,078","3,387",,"33,974","11,395","19,343",784,769,"1,683","34,355","10,912","18,216",732,"1,477","3,018",,N,N,N,N,N,N,N,,N,N,,N,N,N,N,N,N,N,,"17,041","1,067","1,414","7,460","3,852","3,248",,"60,453","3,698","2,073","10,672","8,158","3,108","16,458","16,286","54,682","32,744",,"65,581","1,147",,"80,848","7,990","16,067","1,162","54,852","4,079","9,929","2,749",,"80,836","68,999","11,837","10,932","4,613","6,319","4,741","1,578",905,,"81,653","55,905","54,448","39,288","15,160","1,457","25,748",,"25,748","13,278","12,470",,"27,205","1,457",402,"1,055","25,748","7,608","18,140",,N,N,N,N,N,N,N,,"77,836","46,257","31,579","10,306","16,925","6,424","4,621","1,048","9,488","2,714",545,120,,"81,653","2,500",575,259,425,454,"5,090","1,586",95,"4,998",639,238,"4,639","4,277",356,915,"1,256",587,"2,217",233,"1,065",48,322,748,268,479,437,861,,"29,450","28,933","28,571",San Mateo County
2,San Mateo,,"39,340","19,247","7,810","2,986","1,130","6,410",202,"4,321","1,432","10,697",755,"7,270","3,228","10,480","11,589",2.56,3.22,,"100,792","39,340","19,371","2,919","27,931","7,233","3,998",,"40,571","16,602","20,923",206,715,"2,125","44,170","14,450","21,520",503,"3,330","4,367",,"1,033",44,3,39,0,15,69,,N,N,,N,N,N,N,N,N,N,,"23,254","1,654","1,218","8,324","5,101","6,957",,"75,078","5,971","2,172","8,931","9,410","5,109","23,551","19,934","66,935","43,485",,"81,672","2,828",,"101,956","9,354","20,480",733,"64,800","4,039","16,676","4,582",,"101,118","86,544","14,574","14,096","8,676","5,420","3,346","2,074",478,,"102,175","67,832","66,729","52,227","14,502","1,103","34,343",,"34,343","18,388","15,955",,"35,446","1,103",112,991,"34,343","11,962","22,381",,N,N,N,N,N,N,N,,"96,331","56,743","39,588","16,069","16,788","7,590","5,555","1,024","15,657","6,557","1,588",898,,"102,175","2,583","1,783",76,569,599,"6,084",939,208,"5,106",905,70,"10,429","7,286",164,732,"1,704",446,"1,283",224,"1,620",0,169,466,372,335,482,0,,"39,340","38,393","36,820",San Mateo County
0,Milpitas,,"23,632","15,294","8,350","1,157",398,"3,715",355,"1,474",518,"3,466",249,"1,650",849,"10,249","7,351",3.27,3.61,,"77,268","23,632","14,965","1,079","23,701","9,532","4,359",,"34,538","11,469","19,435",918,"1,018","1,698","30,076","8,177","18,159",336,"1,895","1,509",,"1,075",52,6,59,0,96,36,,N,N,,N,N,N,N,N,N,N,,"17,767","1,232",591,"8,037","3,567","4,340",,"57,169","4,105","2,496","8,130","6,892","4,274","18,853","12,419","50,568","31,272",,"61,740","1,824",,"77,217","7,943","17,171",260,"49,367","3,516","10,679","4,167",,"78,019","66,169","11,850","11,327","9,129","2,198","1,533",665,523,,"79,074","38,057","36,833","29,442","7,391","1,224","41,017",,"41,017","22,721","18,296",,"42,241","1,224",408,816,"41,017","14,637","26,380",,N,N,N,N,N,N,N,,"74,046","25,381","48,665","18,545","7,271","2,263","10,770","1,777","30,115","14,411",509,94,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,"23,632","23,304","22,881",Santa Clara County
1,Mountain View,,"34,637","15,204","7,652","2,578",940,"9,789",134,"7,445","1,334","7,066",962,"4,942","2,173","9,735","7,416",2.35,3.09,,"81,319","34,637","15,042","2,585","22,121","1,971","4,963",,"36,654","16,981","17,254",175,784,"1,460","30,310","9,543","15,506",438,"1,974","2,849",,953,0,0,47,0,40,61,,N,N,,N,N,N,N,N,N,N,,"17,863","1,581",861,"8,541","3,233","3,647",,"59,044","1,635","1,608","5,232","4,915","1,738","17,090","26,826","55,801","43,916",,"63,921","1,240",,"81,309","5,187","17,468",318,"54,531","2,440","9,310","2,429",,"80,872","64,660","16,212","15,259","10,961","4,298","1,935","2,363",953,,"81,517","47,079","45,950","28,923","17,027","1,129","34,438",,"34,438","14,555","19,883",,"35,567","1,129",551,578,"34,438","15,954","18,484",,N,N,N,N,N,N,N,,"76,487","40,862","35,625","11,552","10,295","3,628","9,788","2,162","14,609","5,701",933,61,,"81,517","3,856",196,148,500,830,"4,999","1,509",808,"4,419",266,76,"4,958","2,529",591,185,"1,494",98,"1,570",521,712,0,"1,403",444,434,242,200,146,,"34,637","33,319","33,243",Santa Clara County
2,Palo Alto,,"24,501","14,909","6,941",831,102,"3,577",563,"2,285",918,"5,184",605,"3,376","2,034","8,211","8,029",2.69,3.20,,"65,961","24,501","14,793",851,"22,312","1,125","2,379",,"25,827","8,461","15,585",167,575,"1,039","27,521","7,308","15,237",237,"2,042","2,697",,N,N,N,N,N,N,N,,N,N,,N,N,N,N,N,N,N,,"18,335",998,615,"8,284","4,707","3,731",,"45,327","1,746",309,"1,991","2,846","1,880","12,075","24,480","43,272","36,555",,"49,851","1,314",,"66,057","4,413","16,815",0,"38,138","1,141","11,104","3,272",,"66,269","55,156","11,113","10,051","5,135","4,916","2,113","2,803","1,062",,"66,666","42,721","40,925","23,776","17,149","1,796","23,945",,"23,945","13,081","10,864",,"25,741","1,796",356,"1,440","23,945","6,786","17,159",,N,N,N,N,N,N,N,,"63,928","36,972","26,956","8,134","6,331","2,404","5,038","1,174","15,006","4,446",581,110,,"66,666",818,280,616,737,173,"6,760","1,368",262,"5,885",0,660,"4,145","2,329",197,914,"1,195",466,"1,345",118,"1,383",378,148,"1,344",469,544,311,48,,"24,501","23,979","23,457",Santa Clara County
